length,time,percent,currency,weight,label
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,0,5
0,0,0,0,1,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,1,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,1,1,5
0,0,0,0,1,5
0,0,0,1,1,5
0,0,0,0,1,5
0,0,0,1,1,5
0,0,0,0,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,0,5
0,0,0,0,1,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,1,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,1,1,5
0,0,0,0,1,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,0,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,1,1,5
0,0,0,0,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,0,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,0,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,1,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,0,1,5
0,0,0,1,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,1,1,5
0,0,0,1,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,1,0,0,0,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,0,0,5
0,0,0,0,1,5
0,0,0,0,1,5
0,0,0,1,1,5
0,0,0,0,1,5
